,Average and median metrics
avg MSE,0.0014252224107573984
med MSE,0.0006219519635201414
avg NMSE,0.03633678790086968
med NMSE,0.027623405246178213
avg SSIM,0.8776728004104537
med SSIM,0.9347793000876592
avg LR_MSE,0.00016662907527729143
med LR_MSE,0.00011873214696370846
avg LR_NMSE,0.013527602496762936
med LR_NMSE,0.011630614780869032
avg LR_SSIM,0.9858235777949483
med LR_SSIM,0.98820656526254
