metrics,LR,MR,LR_ups,MR_ups
avg_MSE,0.0014759438028195692,0.0032272382591548624,0.000743682097218774,0.0029635466739408333
med_MSE,0.001301616556170953,0.0027662476518696528,0.0006669552450626732,0.002629276109791878
avg_NMSE,0.040031004220991956,0.06002910515746087,0.029144397275516758,0.05779930570739169
med_NMSE,0.03895840556274316,0.055952660345221866,0.028106149415119963,0.05636024156641139
avg_SSIM,0.8723638432295224,0.8166294315027599,0.9369544464075734,0.827494359423236
med_SSIM,0.8782792192093553,0.8198888589143265,0.9396628180600204,0.8300567396203627
