,file,patient,location,phenotype,MSE,NMSE,SSIM,FROB,NUC,LR_MSE,LR_NMSE,LR_SSIM,LR_FROB,LR_NUC
0,"0131_[46833,16191]_part_1_-3.jpg",0131,"[46833,16191]",CD3,0.0005851836845953563,0.028452273435734903,0.9338159354705321,14.026118278503418,247.23394775390625,0.0001465083686227427,0.014242862095024606,0.9868807307147365,6.873561859130859,110.04730224609375
1,"0131_[42912,16664]_part_2_-1.jpg",0131,"[42912,16664]",CK,0.0006699706754585728,0.029229239353104765,0.9376818073104148,15.005648612976074,253.23423767089844,0.0002006407358483527,0.016004626953256575,0.9856509031777198,8.058229446411133,125.45047760009766
2,"0131_[42242,13869]_part_1_-1.jpg",0131,"[42242,13869]",CK,0.00022559705881668523,0.015666844312038887,0.9674996258069619,8.713212013244629,146.4284210205078,6.368935145266055e-05,0.008327341537558338,0.9918904365811896,4.563284873962402,78.76497650146484
3,"0131_[41114,18347]_part_2_-5.jpg",0131,"[41114,18347]",CD8,0.00039327066254154965,0.02101675421556304,0.9572007276514984,11.506988525390625,199.1728973388672,0.00011586273396948906,0.011412036578507128,0.9895323998103437,6.158775329589844,104.22562408447266
4,"0131_[45930,8132]_part_4_-2.jpg",0131,"[45930,8132]",DAPI,0.0028471762133176737,0.06387466748232438,0.8039983128740774,30.974653244018555,600.3705444335938,0.00047564982657251803,0.026157415909995665,0.9704867862267039,12.378742218017578,201.0425567626953
5,"0131_[49577,17995]_part_2_-5.jpg",0131,"[49577,17995]",CD8,0.0018570446323779265,0.05010535832935741,0.8153085066807227,25.021141052246094,490.6578063964844,0.00023357235557129933,0.017789714945651826,0.9794892355753356,8.69272518157959,144.83987426757812
6,"0131_[40968,17689]_part_3_-0.jpg",0131,"[40968,17689]",CD4,0.00029296471731484597,0.01778164962182403,0.9673785976099225,9.928099632263184,167.83265686035156,0.00010478875393085195,0.010642270476221252,0.99066249471255,5.855607986450195,98.2017822265625
7,"0131_[47748,18478]_part_4_-5.jpg",0131,"[47748,18478]",CD8,0.00040219365115852095,0.021099746683635026,0.9556827551941719,11.637321472167969,201.97792053222656,0.00010925284988060523,0.01100091487136619,0.9901701423373309,5.965366363525391,99.98483276367188
8,"0131_[43076,8951]_part_2_-3.jpg",0131,"[43076,8951]",CD3,0.00098474402594298,0.033849717774619294,0.8645026048570492,18.221269607543945,354.3083801269531,0.00013260175186628756,0.012428262226911352,0.9860145762897421,6.567562580108643,111.74202728271484
9,"0131_[50072,7868]_part_3_-5.jpg",0131,"[50072,7868]",CD8,0.0006587202424449267,0.026794537056621524,0.9105917953474784,14.902344703674316,285.6134338378906,0.00010840644902102547,0.010875153536882395,0.9896900741140771,5.945514678955078,99.95952606201172
10,"0131_[44467,14410]_part_1_-4.jpg",0131,"[44467,14410]",FoxP3,0.0004763219089164167,0.023073088118849925,0.9357426647047863,12.670395851135254,239.7406768798828,8.126457225988175e-05,0.009530008399132097,0.9908159870775567,5.147676944732666,88.1622543334961
11,"0131_[42242,13869]_part_2_-3.jpg",0131,"[42242,13869]",CD3,0.0003899566015375443,0.02093050738969341,0.9630297318350829,11.44845962524414,189.25953674316406,0.00012160155995792783,0.011693941971993133,0.9912147694158673,6.268585681915283,94.87838745117188
12,"0131_[48485,17537]_part_3_-2.jpg",0131,"[48485,17537]",DAPI,0.0026882749187470602,0.05863152399337591,0.7599981529166593,30.1096248626709,592.9552612304688,0.0002412933109650656,0.01759453870811361,0.9797353093993061,8.83154296875,145.9983367919922
13,"0131_[43515,10518]_part_4_-0.jpg",0131,"[43515,10518]",CD4,0.003464650785679217,0.06382388650277818,0.7876043185479871,34.1839485168457,634.74755859375,0.0002719500937234418,0.017918234280465496,0.9819901476966598,9.359879493713379,149.51641845703125
14,"0131_[40237,15610]_part_1_-5.jpg",0131,"[40237,15610]",CD8,0.00029416016157784563,0.01801965369077516,0.9620172725274578,9.950817108154297,168.4500274658203,8.432585279064863e-05,0.009650458028988482,0.9904457867766493,5.249081134796143,90.28665924072266
15,"0131_[40734,12991]_part_4_-3.jpg",0131,"[40734,12991]",CD3,0.00037130908101185007,0.019896401993492192,0.9431765518120048,11.189445495605469,204.3148651123047,4.551592992294262e-05,0.00696673243164694,0.9941464209740106,3.84956431388855,63.33203125
16,"0131_[39373,13898]_part_3_-5.jpg",0131,"[39373,13898]",CD8,0.007139484821126138,0.0964839008344548,0.5910710340397484,49.073394775390625,971.3005981445312,0.0004153432454032093,0.023384090811993476,0.968957217434452,11.583155632019043,193.9903564453125
17,"0131_[46833,16191]_part_1_-2.jpg",0131,"[46833,16191]",DAPI,0.00020384830804719609,0.014771338554842351,0.9676840161649224,8.283747673034668,141.05567932128906,5.004532960179513e-05,0.007321094795848325,0.9926170684112289,4.0394721031188965,71.39965057373047
18,"0131_[50072,7868]_part_1_-1.jpg",0131,"[50072,7868]",CK,0.00196601797440621,0.048453462380445796,0.825697387741752,25.748245239257812,502.3094177246094,0.0002150272855002115,0.016045063785956895,0.9821473107216141,8.351983070373535,139.2852325439453
19,"0131_[39813,12991]_part_2_-4.jpg",0131,"[39813,12991]",FoxP3,0.0025935580901294605,0.05478120629386244,0.7037742091158457,29.57805061340332,589.8597412109375,0.00011524114868487175,0.01156728758974493,0.9839337584518923,6.121225357055664,106.85054779052734
