,file,patient,location,MAE,MSE,NMSE,SSIM,FROB,PSNR,MR_MAE,MR_MSE,MR_NMSE,MR_SSIM,MR_FROB,MR_PSNR
0,"0131_[38905,17191]_part_4_1_.tif",0131,"[38905,17191]",0.00447533815027112,291.00896458947,0.07114531882349483,0.895278880966138,38.79364013671875,23.491739818374295,308.4346670037275,308.4346670037275,0.07367935453432896,0.9132485859885336,39.943603515625,23.239172687047375
1,"0131_[43076,8951]_part_3_1_.tif",0131,"[43076,8951]",470.99364674784175,470.9936494729816,0.09207765997759387,0.8293550842978413,49.26298141479492,21.40065306755275,556.6829336207189,556.6829336207189,0.1019834487744377,0.8662753080673354,53.28940963745117,20.674723671899812
2,"0131_[43515,10518]_part_2_2_.tif",0131,"[43515,10518]",341.1768458321947,341.17642339721965,0.07510072381312591,0.884816199081499,41.28208541870117,22.801013503811184,291.19615345700976,291.19615345700976,0.0698621323557746,0.9352367779727021,38.19363021850586,23.488947978254036
3,"0131_[42912,16664]_part_4_2_.tif",0131,"[42912,16664]",170.3287355354403,170.3287355354403,0.055049399937677636,0.8813415408585591,29.078763961791992,25.81792361153981,323.8311646567196,323.8311646567196,0.0780257520978496,0.8700135909021673,40.632015228271484,23.02761743783027
4,"0131_[42912,16664]_part_2_1_.tif",0131,"[42912,16664]",0.010685795424778701,694.8443348519049,0.11407892616109334,0.8423226166782362,59.8043212890625,19.711929002151454,675.6272905019338,675.6272905019338,0.11378273745392878,0.8917431954543752,59.17698669433594,19.83373158694565
5,"0131_[47765,19400]_part_4_1_.tif",0131,"[47765,19400]",589.903816811595,589.903816811595,0.10088147200403214,0.8781443428185319,54.8770637512207,20.422990708862088,569.3443138662077,569.3443138662077,0.09979880410900652,0.9065768060816756,54.03268814086914,20.577052912132004
6,"0131_[42242,13869]_part_2_1_.tif",0131,"[42242,13869]",240.21022034415853,240.2099700656373,0.06332239178619536,0.9438904374312441,35.28293991088867,24.32489403440372,252.15563866735692,252.15563866735692,0.06560385938887744,0.9324644770377432,36.124385833740234,24.114116223837645
7,"0131_[48866,16300]_part_4_2_.tif",0131,"[48866,16300]",505.08244410558626,505.08244410558626,0.09721031845975406,0.8454632131054596,50.24281311035156,21.097181538540177,652.3381314176414,652.3381314176414,0.11358207367995887,0.8675061024751384,58.1600227355957,19.98607552727358
8,"0131_[47765,19400]_part_4_2_.tif",0131,"[47765,19400]",598.4393351720388,598.4393351720388,0.10112655878516581,0.9317333636809108,55.00865173339844,20.360600548874608,693.3953876644264,693.3953876644264,0.11025801341754393,0.9126816224820306,59.83744430541992,19.720993753588495
9,"0131_[47891,9800]_part_2_1_.tif",0131,"[47891,9800]",0.012540408511520338,815.4403380186595,0.1179601573001155,0.8726302391694905,64.79070281982422,19.01688153323778,819.6352750280913,819.6352750280913,0.12016098504243858,0.8984687836257081,64.9346923828125,18.994597309927325
10,"0131_[38905,17191]_part_1_1_.tif",0131,"[38905,17191]",0.004727504449181366,307.4063303850127,0.07542796914615162,0.8614079185692426,39.346683502197266,23.253675384558058,345.95198926200607,345.95198926200607,0.08156266536660652,0.8705000752823073,41.90198516845703,22.74064367168115
11,"0131_[47276,11863]_part_1_1_.tif",0131,"[47276,11863]",551.167438086593,551.167438086593,0.0983658942171049,0.8114346350799885,51.7325439453125,20.71796775098976,425.090057035291,425.090057035291,0.08766592548363414,0.9010459180589047,45.743282318115234,21.84599413695469
12,"0131_[40968,17689]_part_3_2_.tif",0131,"[40968,17689]",340.87141950007896,340.87141950007896,0.07628118840915606,0.8932757275973217,42.01504898071289,22.804898368010388,365.3599271672394,365.3599271672394,0.0796051354208135,0.9002448326123189,43.48377990722656,22.503594522322093
13,"0131_[40280,14805]_part_1_2_.tif",0131,"[40280,14805]",333.0344406450799,333.0344406450799,0.08059312756245383,0.894238006991055,37.72749328613281,22.90591274347548,521.5445731450126,521.5445731450126,0.10348817583373694,0.8678103181795557,48.96076583862305,20.957887921756303
14,"0131_[41730,12537]_part_3_1_.tif",0131,"[41730,12537]",411.8780511647328,411.8778465350554,0.08849913065384218,0.7372104602695885,44.35770797729492,21.983120006749665,422.4633128143489,422.4633128143489,0.09182178070423534,0.8532051290497774,46.34896469116211,21.872912926194722
15,"0131_[39373,13898]_part_4_1_.tif",0131,"[39373,13898]",0.006716716921871063,436.7549289340399,0.08920171276864619,0.827292400485227,47.32240676879883,21.728424704973516,408.9305542575826,408.9305542575826,0.0870864576223747,0.8974286410525414,45.66970443725586,22.014306830995338
16,"0131_[48485,17537]_part_1_1_.tif",0131,"[48485,17537]",448.8546959690123,448.8546959690123,0.09181545748852805,0.7771257716579333,48.2249870300293,21.609745191087402,518.929272119106,518.929272119106,0.10048405946744078,0.8643384454904252,51.26365661621094,20.979722525110017
17,"0131_[41817,9961]_part_2_2_.tif",0131,"[41817,9961]",450.9620471261253,450.96175793681715,0.08870255599605051,0.9102629627369524,47.13376998901367,21.589407308499233,399.88812598361073,399.88812598361073,0.08492770827624907,0.9294746005639735,44.80879592895508,22.111417896322386
18,"0131_[40734,12991]_part_2_2_.tif",0131,"[40734,12991]",397.7686413094968,397.7684815809351,0.08473499102680537,0.7696513720107848,45.31828689575195,22.134499468863165,334.567098874128,334.567098874128,0.07910850566119984,0.8876192874221261,41.53548812866211,22.88597157965872
19,"0131_[41817,9961]_part_2_1_.tif",0131,"[41817,9961]",564.3739265720193,564.3738639573816,0.0995255023974631,0.8660770531508568,53.95223617553711,20.6151348559202,663.9549645023181,663.9549645023181,0.10986936765709994,0.9037114150458697,57.69899368286133,19.909417837732075
