,file,patient,location,MAE,MSE,NMSE,SSIM,FROB,PSNR,LR_MAE,LR_MSE,LR_NMSE,LR_SSIM,LR_FROB,LR_PSNR
0,"0131_[38905,17191]_part_4_1_.tif",0131,"[38905,17191]",196.9840268122964,196.98387572841514,0.05853403839305589,0.9032093409433678,31.877769470214844,25.186496585405255,178.68919205061607,178.68919205061607,0.05635316181010823,0.9458789482606278,30.434572219848633,25.609821458086678
1,"0131_[43076,8951]_part_3_1_.tif",0131,"[43076,8951]",268.2438270345577,268.2438270345577,0.06948828944166784,0.8307261234889262,36.70829391479492,23.84550511882532,254.92593879933622,254.92593879933622,0.06923308454470586,0.9240909565805057,35.60538864135742,24.066662900041973
2,"0131_[43515,10518]_part_2_2_.tif",0131,"[43515,10518]",345.8360679828106,345.8360679828106,0.07561183208078973,0.8711493246313449,41.84605026245117,22.742099716621276,238.5650400305749,238.5650400305749,0.06339842803692601,0.965316819441077,34.89939498901367,24.354736279937292
3,"0131_[42912,16664]_part_4_2_.tif",0131,"[42912,16664]",140.66414439752023,140.6640538998781,0.05002651052648792,0.8868765320376703,26.868616104125977,26.64897157697596,149.61418109185044,149.61418109185044,0.053029855378575665,0.933770544341978,27.1536922454834,26.38107511218431
4,"0131_[42912,16664]_part_2_1_.tif",0131,"[42912,16664]",327.43315052346014,327.4330401824629,0.07831102598307477,0.8424154096984022,40.633056640625,22.979577737713786,291.9340509100687,291.9340509100687,0.07502202988277099,0.9361767037920602,38.386775970458984,23.477955609328017
5,"0131_[47765,19400]_part_4_1_.tif",0131,"[47765,19400]",326.23813780159753,326.2377879200978,0.07502187924175734,0.8833599126255743,40.44526672363281,22.99546212346356,280.1177202326021,280.1177202326021,0.07010692484571805,0.9462265076732241,37.56264877319336,23.657397520171628
6,"0131_[42242,13869]_part_2_1_.tif",0131,"[42242,13869]",204.94890701737177,204.94867025982788,0.0584903676758295,0.9466323620965061,32.17702102661133,25.014351283940872,171.7239874269175,171.7239874269175,0.05429437356345526,0.9562777264400534,29.562196731567383,25.7824936730795
7,"0131_[48866,16300]_part_4_2_.tif",0131,"[48866,16300]",244.76779093512326,244.76779093512326,0.06767190083145852,0.8480506163818228,35.51460647583008,24.243261452772522,208.02511593901215,208.02511593901215,0.06408357826019341,0.938380899240317,32.70382308959961,24.94964715504898
8,"0131_[47765,19400]_part_4_2_.tif",0131,"[47765,19400]",235.4073614478042,235.4073614478042,0.06342568893616413,0.9401191307267075,34.62360763549805,24.41260288621891,216.66023013829098,216.66023013829098,0.06177055273656729,0.9509181394103438,33.209007263183594,24.77301033579192
9,"0131_[47891,9800]_part_2_1_.tif",0131,"[47891,9800]",318.4131447417099,318.4131447417099,0.07371141389659852,0.8663236251170213,40.57280731201172,23.10089411454495,295.56040928591045,295.56040928591045,0.07253348396520613,0.9403297403716091,38.73841857910156,23.4243403393329
10,"0131_[38905,17191]_part_1_1_.tif",0131,"[38905,17191]",0.0025793170560862535,167.72014087307076,0.055714549190272335,0.872438191302935,29.489347457885742,25.88495069353202,167.08811471655642,167.08811471655642,0.05680138085778006,0.9297843503976152,29.25846290588379,25.901346309442427
11,"0131_[47276,11863]_part_1_1_.tif",0131,"[47276,11863]",439.1272756297624,439.1272756297624,0.08780069915841376,0.7956413275185271,47.2114143371582,21.704900853417293,231.37483600499567,231.37483600499567,0.06465627129580583,0.9566265557703684,33.82185745239258,24.48764272798905
12,"0131_[40968,17689]_part_3_2_.tif",0131,"[40968,17689]",347.327652727731,347.32733872741346,0.07700016340072453,0.903493499344571,42.433834075927734,22.723412866588887,296.9341107056022,296.9341107056022,0.0719162268257027,0.936767483104617,39.2451057434082,23.404201782773068
13,"0131_[40280,14805]_part_1_2_.tif",0131,"[40280,14805]",246.61869730223745,246.61869730223745,0.06935319437202468,0.9030156398162532,35.602630615234375,24.210544137909633,227.76140867929726,227.76140867929726,0.06891387800729898,0.9289020006277795,33.09519577026367,24.556002695142087
14,"0131_[41730,12537]_part_3_1_.tif",0131,"[41730,12537]",329.7830361105143,329.7830361105143,0.07918974527496564,0.7231005300431511,40.0958366394043,22.948520700859792,270.1499745656229,270.1499745656229,0.07405657912151331,0.914685717688371,37.068695068359375,23.814753497445288
15,"0131_[39373,13898]_part_4_1_.tif",0131,"[39373,13898]",199.00026078646465,199.00026078646465,0.060211727804035116,0.8295713567404506,31.964643478393555,25.14226884851882,197.2584747321511,197.2584747321511,0.06081057484263059,0.9432010812864049,31.15273094177246,25.180447372099984
16,"0131_[48485,17537]_part_1_1_.tif",0131,"[48485,17537]",316.72542260927,316.72542260927,0.07712663565682704,0.7733917971238281,40.39313888549805,23.123973799953784,254.81597132813155,254.81597132813155,0.0709022533506749,0.9277738283136817,36.01424789428711,24.068537026063474
17,"0131_[41817,9961]_part_2_2_.tif",0131,"[41817,9961]",335.16559308378754,335.16513790025226,0.07647081242469085,0.9019772278499095,40.925628662109375,22.87821491464898,250.01899658440087,250.01899658440087,0.06744605669671562,0.9619496843693649,35.47066879272461,24.15107431462047
18,"0131_[40734,12991]_part_2_2_.tif",0131,"[40734,12991]",296.5031748641933,296.5031748641933,0.07315807537958875,0.7518976930093797,38.44776153564453,23.410508802702278,218.96748797039706,218.96748797039706,0.0643665119580797,0.9443699057560685,32.88883590698242,24.72700703325978
19,"0131_[41817,9961]_part_2_1_.tif",0131,"[41817,9961]",374.62434251923406,374.62434251923406,0.08108657031249428,0.8609098033583686,42.14670181274414,22.39484347860274,375.9565203423001,375.9565203423001,0.08276117094333112,0.9469802776147258,42.39738845825195,22.37942748639072
