,file,patient,location,MAE,MSE,NMSE,SSIM,FROB,NUC,PSNR,LR_MAE,LR_MSE,LR_NMSE,LR_SSIM,LR_FROB,LR_NUC,LR_PSNR
1,"0131_[38831,10341]_part_4_2_.tif",0131,"[38831,10341]",116.2409617674274,116.2409617674274,0.04362160061812198,0.8953987954542398,23.80106544494629,310.6724548339844,27.47721175962793,15.21840352406071,15.21840352406071,0.015951254322893137,0.9967352263646642,8.483122825622559,56.301883697509766,36.30711311494917
2,"0131_[50072,7868]_part_3_2_.tif",0131,"[50072,7868]",179.886947145013,179.8867473365658,0.055828310647117796,0.8307833209859531,27.024675369262695,460.9925231933594,25.580812239771326,18.163026062339245,18.163026062339245,0.01785533972430524,0.9942716328476674,9.594666481018066,74.69824981689453,35.53892136880517
3,"0131_[40734,12991]_part_2_1_.tif",0131,"[40734,12991]",0.0014686982243631013,95.50199225304512,0.04065705724673888,0.9618414554034408,21.94446563720703,198.9462890625,28.33067864508426,15.829043594716994,15.829043594716994,0.016846993270705667,0.9958464335192053,8.680925369262695,67.7642593383789,36.13625639012889
4,"0131_[38831,10341]_part_3_1_.tif",0131,"[38831,10341]",231.3469052101816,231.3469052101816,0.06784882061529743,0.8621436309375934,32.681156158447266,431.7725830078125,24.488166317168986,20.81187677775444,20.81187677775444,0.020922048814057015,0.9926155991354985,10.109782218933105,89.2860336303711,34.947690056189174
5,"0131_[46800,15428]_part_1_2_.tif",0131,"[46800,15428]",318.9549855635177,318.95484372981963,0.0764692670550985,0.7914629696853294,39.386871337890625,572.74658203125,23.093511722938608,15.607682154966975,15.607682154966975,0.017390074289407288,0.9931084267362102,8.623522758483887,93.390869140625,36.197418670032924
6,"0131_[42912,16664]_part_3_2_.tif",0131,"[42912,16664]",165.08699568426488,165.08699568426488,0.054277396596499355,0.8759400581830045,27.85892677307129,371.4063415527344,25.95367470595401,11.169259667535309,11.169259667535309,0.014393985027394323,0.994562288548662,7.409461975097656,81.84420776367188,37.650560334192484
7,"0131_[46589,13751]_part_3_1_.tif",0131,"[46589,13751]",98.6874624625524,98.68742271498736,0.04100115118419658,0.896880386835318,22.488656997680664,325.3813781738281,28.188185156880134,11.155589612382167,11.155589612382167,0.013914806092250175,0.9961281530829363,7.425474643707275,67.08355712890625,37.655877029361385
8,"0131_[40896,13825]_part_4_2_.tif",0131,"[40896,13825]",136.65031032296994,136.6500830846671,0.04876577864965356,0.8610737946480683,24.5726318359375,349.4576110839844,26.774704532687036,17.930145591249296,17.930145591249296,0.01781301768750237,0.9966354310190461,9.157780647277832,59.022125244140625,35.594965989905454
9,"0131_[49577,17995]_part_1_2_.tif",0131,"[49577,17995]",0.0026263131951773044,170.77601379454822,0.05685970219183251,0.8630380153327613,29.21808433532715,383.8680725097656,25.806534825009887,13.863989263520585,13.863989263520585,0.01663850897277668,0.993752902094756,8.32571792602539,82.19782257080078,36.71192129740314
10,"0131_[45930,8132]_part_2_2_.tif",0131,"[45930,8132]",286.8341536498433,286.8339925963423,0.07072742716281342,0.8706266066512117,38.392974853515625,393.11767578125,23.554498013892026,50.562570920665735,50.562570920665735,0.030446925188398245,0.994028666818877,15.039580345153809,87.00826263427734,31.09251166603491
11,"0131_[48485,17537]_part_3_1_.tif",0131,"[48485,17537]",271.8286572989713,271.8284596721783,0.07295016929329083,0.7718927666364929,36.52994155883789,568.7900390625,23.787854350535323,22.718549857981387,22.718549857981387,0.021619249981212528,0.9916866895510408,10.495896339416504,93.67269897460938,34.566998296857484
12,"0131_[42051,17060]_part_1_1_.tif",0131,"[42051,17060]",132.99227760098304,132.99227760098304,0.04754631269700988,0.920853484426675,25.695032119750977,272.0735778808594,26.892539822265288,15.584114432342647,15.584114432342647,0.016599574588780155,0.9961183766866789,8.979886054992676,65.9397201538086,36.20398295467771
13,"0131_[49577,17995]_part_2_2_.tif",0131,"[49577,17995]",0.003865278101958048,251.34023463219015,0.07029588304018143,0.8767546562438114,35.62786865234375,410.8841552734375,24.128183345965,19.715563541376756,19.715563541376756,0.020434436388269424,0.9926659050879212,9.576939582824707,90.56517791748047,35.182712655015145
14,"0131_[38744,8571]_part_4_1_.tif",0131,"[38744,8571]",0.0019310302921860224,125.56536007187749,0.046047569369119856,0.9522567369374281,24.151473999023438,235.9739532470703,27.142104848191725,27.34165384483262,27.34165384483262,0.021738091034695754,0.9964016613956425,11.80434799194336,66.62682342529297,33.76255429043055
15,"0131_[48866,16300]_part_2_2_.tif",0131,"[48866,16300]",98.24333691044451,98.24333691044451,0.040497187849411934,0.9463565132086386,21.328083038330078,234.6082305908203,28.207771091505474,24.906956161680995,24.906956161680995,0.020573288134806824,0.9962727417841349,10.486769676208496,65.57595825195312,34.16759579193666
16,"0131_[47891,9800]_part_4_2_.tif",0131,"[47891,9800]",0.005631302495509347,366.17499409498686,0.08652445201833728,0.7365666633039064,42.24602127075195,632.2138061523438,22.49391757503889,57.958950523517565,57.958950523517565,0.03548807415899005,0.9883744253104029,14.337753295898438,104.5409164428711,30.499598514735563
17,"0131_[42912,16664]_part_1_2_.tif",0131,"[42912,16664]",96.34116313934787,96.34107137750352,0.04010791760583807,0.9035487294293004,21.29895782470703,279.960205078125,28.29268886037806,12.41371983859946,12.41371983859946,0.014568887415293197,0.9959213283892523,7.685397624969482,66.3026351928711,37.19178444303137
18,"0131_[46800,15428]_part_1_1_.tif",0131,"[46800,15428]",118.41508388557905,118.41495794557547,0.0459010249486782,0.9254713094082789,24.703954696655273,288.5838928222656,27.396738340614668,21.445750203683428,21.445750203683428,0.019809549128755023,0.9952402879654857,9.574612617492676,73.44332885742188,34.81739097793927
19,"0131_[40280,14805]_part_2_2_.tif",0131,"[40280,14805]",159.12979406733572,159.12979406733572,0.05461109727324942,0.9341918979775246,27.285139083862305,273.74884033203125,26.11328951067889,13.010779941408657,13.010779941408657,0.01609743595221008,0.9944545611642273,8.187236785888672,81.59334564208984,36.98777016282302
