,file,patient,location,MSE,NMSE,SSIM,FROB,NUC,PSNR,MR_MSE,MR_NMSE,MR_SSIM,MR_FROB,MR_NUC,MR_PSNR
0,"0131_[46833,16191]_part_4_1_.tif",0131,"[46833,16191]",617.0482426327343,0.10243911962454859,0.8559444570179694,54.83675003051758,462.0706481933594,20.22761215635495,555.0303506354342,0.09820338497481008,0.8956081505423049,51.33158493041992,403.4096984863281,20.68763689045614
1,"0131_[38831,10341]_part_4_2_.tif",0131,"[38831,10341]",497.7419313771991,0.09026598245016423,0.8772126442255263,50.23116683959961,391.5750732421875,21.16076068512461,425.35389087770506,0.08420128636704709,0.9199004027499518,46.35444259643555,331.5862121582031,21.84329960279865
2,"0131_[50072,7868]_part_3_2_.tif",0131,"[50072,7868]",508.740378267589,0.09388647024129029,0.8130912923092128,50.72800064086914,582.9590454101562,21.065840667266624,412.5136102851413,0.08496030616388164,0.8900281445207767,45.77620315551758,420.7279968261719,21.976419818616023
3,"0131_[40734,12991]_part_2_1_.tif",0131,"[40734,12991]",646.9425302356209,0.10581872913698105,0.9341195811292704,50.462432861328125,307.8650817871094,20.02214798051498,581.817353932497,0.10200103088243465,0.9268826027257129,49.45455551147461,350.9551696777344,20.482938051334894
4,"0131_[38831,10341]_part_3_1_.tif",0131,"[38831,10341]",0.007890944145725024,0.10104510898568436,0.8264177770179967,51.08577346801758,587.2723999023438,21.0287066946375,491.2337394198221,0.10119984618260884,0.8627103793080598,50.24138259887695,520.3060913085938,21.217921777270025
5,"0131_[46800,15428]_part_1_2_.tif",0131,"[46800,15428]",633.0757382083592,0.10773331945942996,0.7795298544691311,55.74760818481445,668.2218627929688,20.116249794794506,480.919523645477,0.09589900491848269,0.8526762383811435,48.9466438293457,541.0524291992188,21.310079788072862
6,"0131_[42912,16664]_part_3_2_.tif",0131,"[42912,16664]",0.005274957540261586,0.07823702956836637,0.8559052870310052,41.4740104675293,467.2354736328125,22.777809471391457,318.47058466490034,0.07662362030116057,0.8890296508491256,40.180328369140625,425.0827331542969,23.100110406038027
7,"0131_[46589,13751]_part_3_1_.tif",0131,"[46589,13751]",602.2483253482811,0.10128678914780297,0.8695637657708563,53.4478759765625,439.2133483886719,20.33305004651003,532.4805886582473,0.096027817760474,0.9039383459930733,50.23496627807617,394.6999206542969,20.86776628496966
8,"0131_[40896,13825]_part_4_2_.tif",0131,"[40896,13825]",743.574057816972,0.11375547728661471,0.8208472964386627,60.68040466308594,493.8956604003906,19.417562512818442,666.3764744021539,0.10856565850755952,0.8805772158824304,57.00417709350586,401.6865539550781,19.893606708797712
9,"0131_[49577,17995]_part_1_2_.tif",0131,"[49577,17995]",323.6186490091254,0.07827226265460246,0.8428601050171994,40.80944061279297,490.146240234375,23.030466929985533,331.7952257481617,0.08105966365376334,0.8890461005698412,41.13042068481445,424.2278137207031,22.922101866135996
10,"0131_[45930,8132]_part_2_2_.tif",0131,"[45930,8132]",505.0173482325481,0.09384811230011608,0.8560330952092903,51.067020416259766,474.3143615722656,21.0977446962635,426.33373009145686,0.08768562991029967,0.8939342592098406,46.95692825317383,433.82421875,21.833307498720632
11,"0131_[48485,17537]_part_3_1_.tif",0131,"[48485,17537]",572.6214269319247,0.10587967893980536,0.757575321912408,52.41617202758789,695.4817504882812,20.552127409546422,517.5368666225577,0.10258379640702223,0.8564629242552696,50.65312576293945,525.4315795898438,20.99139069931953
12,"0131_[42051,17060]_part_1_1_.tif",0131,"[42051,17060]",441.28602591392126,0.08660913517195998,0.8905462314209408,46.52341842651367,375.7132873535156,21.683601407529235,380.4354842373509,0.08157680103388064,0.906646655345548,43.202545166015625,371.7093811035156,22.32799410749519
13,"0131_[49577,17995]_part_2_2_.tif",0131,"[49577,17995]",479.59953784968747,0.09710424405373932,0.8633585601126254,48.54963684082031,497.2470703125,21.32201595435273,656.0698941352795,0.11691633368015449,0.8808313237798245,57.1556510925293,481.7846984863281,19.961301767172614
14,"0131_[38744,8571]_part_4_1_.tif",0131,"[38744,8571]",536.4366622987786,0.09517670341977402,0.9228441182142779,50.206298828125,346.878173828125,20.83562367509918,549.6701641367573,0.09732674967164996,0.9287749910574349,51.845703125,356.4446105957031,20.729781950981078
15,"0131_[48866,16300]_part_2_2_.tif",0131,"[48866,16300]",966.4452975660802,0.12701702590501268,0.920517796231755,62.499114990234375,346.480224609375,18.279031043245222,876.7901363858708,0.1218896292446135,0.9270942623330732,60.4017448425293,343.2868347167969,18.701849349762405
16,"0131_[47891,9800]_part_4_2_.tif",0131,"[47891,9800]",422.42528201265776,0.09293289131622834,0.7286800288819341,45.79185485839844,724.2487182617188,21.873304155449965,337.5084355564734,0.08489451036811758,0.8334233645072299,41.03523254394531,525.3746337890625,22.84795823861642
17,"0131_[42912,16664]_part_1_2_.tif",0131,"[42912,16664]",550.2687336707933,0.09585429603047571,0.8779612541875306,52.94183349609375,395.4215087890625,20.725060506479974,468.6304257215127,0.08930697708017193,0.9132164163455255,48.89487075805664,358.7723083496094,21.42249816722147
18,"0131_[46800,15428]_part_1_1_.tif",0131,"[46800,15428]",455.10682782208,0.08998616555801989,0.8937261783137108,46.952362060546875,423.6507263183594,21.549668796748982,463.8052764612508,0.09217108074810139,0.8985863843108685,47.25775146484375,432.4165954589844,21.46744712927244
19,"0131_[40280,14805]_part_2_2_.tif",0131,"[40280,14805]",243.54678519599545,0.06756099928464872,0.912773439041484,35.29654312133789,373.4984436035156,24.264984524764944,297.7076634577746,0.07646699690904178,0.9043214156587064,37.92127990722656,411.7171630859375,23.392903340274547
