,file,patient,location,MSE,NMSE,SSIM,FROB,NUC,PSNR,LR_MSE,LR_NMSE,LR_SSIM,LR_FROB,LR_NUC,LR_PSNR
0,"0131_[46833,16191]_part_4_1_.tif",0131,"[46833,16191]",234.3820825140164,0.06313472521064273,0.865355167735534,34.458255767822266,397.8753967285156,24.431563525113415,122.13878395770757,0.04621426781060244,0.9386189850772876,25.13447380065918,261.7112121582031,27.262268692515185
1,"0131_[38831,10341]_part_4_2_.tif",0131,"[38831,10341]",246.0208567088631,0.06346115355771022,0.8756884192964712,34.55227279663086,355.8589172363281,24.22108430746847,136.12863332094653,0.04770732164761978,0.9533072115272733,25.923643112182617,215.77984619140625,26.791308819939598
2,"0131_[50072,7868]_part_3_2_.tif",0131,"[50072,7868]",258.3978952218144,0.06691128795623695,0.8223592070672977,34.83525466918945,503.4005432128906,24.00791349610795,121.45044128212574,0.04617146030009631,0.9410414940617962,24.61934471130371,261.2636413574219,27.286812157201286
3,"0131_[40734,12991]_part_2_1_.tif",0131,"[40734,12991]",153.27216107314072,0.05150641849439477,0.9370861075191398,27.669137954711914,249.4152374267578,26.276169221605237,93.687822343832,0.04098611019645398,0.9468733703775571,21.301023483276367,236.2525634765625,28.413972252828653
4,"0131_[38831,10341]_part_3_1_.tif",0131,"[38831,10341]",241.63326229923044,0.06934079206107635,0.8380540306749653,35.024810791015625,481.9817810058594,24.299234920669562,139.6365237931456,0.05419361206232178,0.9230893208135309,26.874526977539062,320.5876159667969,26.680812953542937
5,"0131_[46800,15428]_part_1_2_.tif",0131,"[46800,15428]",407.7819238422666,0.08646419580697247,0.778998134708622,43.971466064453125,614.1002807617188,22.026524905259453,150.60556551930455,0.05401976383645472,0.917845247649124,26.902191162109375,339.0118713378906,26.352393987133606
6,"0131_[42912,16664]_part_3_2_.tif",0131,"[42912,16664]",261.940884598818,0.06836978575904766,0.8637186739230082,35.8956413269043,409.3117370605469,23.948771169027562,131.2424211598178,0.049340770291979814,0.9379677355575867,25.84879493713379,288.8426513671875,26.950061430274392
7,"0131_[46589,13751]_part_3_1_.tif",0131,"[46589,13751]",317.5476428108859,0.07354778468063201,0.8756875821982497,38.458499908447266,379.07958984375,23.112715994685402,206.0385038246675,0.059800534764451574,0.9389250852516788,30.905906677246094,263.527099609375,24.991319214436594
8,"0131_[40896,13825]_part_4_2_.tif",0131,"[40896,13825]",337.5802220372338,0.07664757993621586,0.8368647186409403,41.66550827026367,410.5211486816406,22.847038263398964,224.55988305505107,0.06303935877256155,0.9454632213089779,32.69697952270508,237.9581756591797,24.617481135141258
9,"0131_[49577,17995]_part_1_2_.tif",0131,"[49577,17995]",178.77729185999422,0.05817646228982071,0.84512318735104,30.088224411010742,420.1144104003906,25.607680288375303,116.43010073895113,0.0482173033967312,0.9384580094821823,23.795028686523438,268.63702392578125,27.470150923117032
10,"0131_[45930,8132]_part_2_2_.tif",0131,"[45930,8132]",227.95961036320384,0.06305238191827978,0.8503848052638184,34.3226432800293,431.7514343261719,24.55222426527056,97.9527658013112,0.042377684930746735,0.9381872126045935,21.999130249023438,281.2788391113281,28.22063688684229
11,"0131_[48485,17537]_part_3_1_.tif",0131,"[48485,17537]",340.63030858949463,0.0816620859572637,0.7539087197123694,39.22285079956055,612.3971557617188,22.80797265558062,184.3834415582257,0.061590152911227714,0.9213701807960072,30.180551528930664,327.5428771972656,25.473584520695592
12,"0131_[42051,17060]_part_1_1_.tif",0131,"[42051,17060]",179.7319746655223,0.05527341484593406,0.8947370066969769,30.432138442993164,324.2374572753906,25.58455077431331,86.463971501823,0.03909970461675731,0.9397440202921423,21.07359504699707,252.8380889892578,28.762451301394442
13,"0131_[49577,17995]_part_2_2_.tif",0131,"[49577,17995]",254.84389530335432,0.07078414242305135,0.864360172399054,35.23123550415039,424.4139709472656,24.068061397808453,213.05076190332863,0.0671737642526714,0.9318700519004018,32.28635787963867,313.5697937011719,24.845974475159245
14,"0131_[38744,8571]_part_4_1_.tif",0131,"[38744,8571]",177.9992154829945,0.05482524709063675,0.9346923720784267,30.129798889160156,265.3969421386719,25.626626667791353,151.2356442041809,0.05112532975842323,0.956158926312082,27.845787048339844,235.306396484375,26.334262081036325
15,"0131_[48866,16300]_part_2_2_.tif",0131,"[48866,16300]",357.0147613074539,0.07719981780690399,0.9264385494049104,41.32084655761719,283.2245788574219,22.603944365040654,271.5932760505585,0.06793646409146196,0.9443057647421664,36.43144989013672,248.0613250732422,23.791614188552177
16,"0131_[47891,9800]_part_4_2_.tif",0131,"[47891,9800]",319.88372345192903,0.08087058341441337,0.7135480637733731,40.63301467895508,674.3980102539062,23.080882535189115,111.76212042868745,0.04927986182471486,0.9076089293945592,23.636934280395508,322.8843078613281,27.64785747182412
17,"0131_[42912,16664]_part_1_2_.tif",0131,"[42912,16664]",275.27183386633703,0.06779618614280934,0.8855025335529167,35.452030181884766,332.5140380859375,23.733185583385417,171.7983984103205,0.05419821825141703,0.9536839000772401,27.940637588500977,233.7689208984375,25.78061320967794
18,"0131_[46800,15428]_part_1_1_.tif",0131,"[46800,15428]",230.63807660106684,0.06405961939082405,0.9076955559150875,34.277809143066406,335.3071594238281,24.501497839042763,189.42220709561695,0.058873444225606794,0.9372067718072175,31.24662208557129,286.4935302734375,25.35649425049366
19,"0131_[40280,14805]_part_2_2_.tif",0131,"[40280,14805]",131.4170479865144,0.049628459372797036,0.9142461936396965,25.87841033935547,318.85687255859375,26.944289891121976,108.6126999622026,0.04650989776136138,0.9332797938463249,23.33467674255371,290.97308349609375,27.771997147554515
